126415614616154112,Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is,positive,apple

126404574230740992,@Apple will be adding more carrier support to the iPhone 4S (just announced),positive,apple

126402758403305474,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY,positive,apple

126397179614068736,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!,positive,apple

126379685453119488,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace,positive,apple

126377656416612353,Great up close & personal event @Apple tonight in Regent St store!,positive,apple

126373779483004928,From which companies do you experience the best customer service aside from @zappos and @apple?,positive,apple

126365858481188864,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol,positive,apple

126360398885687296,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple,positive,apple

126342268603998208,"Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty.",positive,apple

126325800080392193,@DailyDealChat @apple Thanks!!,positive,apple

126324177501302784,iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes,positive,apple

126322063332999169,@apple @siri is efffing amazing!!,positive,apple

126318009647235072,"RT @TripLingo: We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z",positive,apple

126315223060709376,"We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z",positive,apple

126314687116750849,We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16,positive,apple

126311981564178432,---» RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?,positive,apple

126307801046847488,RT @imightbewrong: I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   : ...,positive,apple

126302673820594176,I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   :)  Way to go @Apple!,positive,apple

126301956951117826,@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN,positive,apple

126284506360578049,"@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app.",positive,apple

126263834968211456,NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad,positive,apple

